id,item,type,price
924,Ciabatta Roll,bread,86.53
925,Naan,bread,21.03
926,Pita,bread,54.33
927,Sourdough,bread,56.41
928,Brioche,bread,80.23
929,Brioche,bread,63.42
930,Ciabatta,bread,58.67
931,English Muffin,bread,59.5
932,Pita,bread,53.3
933,Texas Toast,bread,29.79
934,Multigrain,bread,55.4
935,Hoagie Roll,bread,58.68
936,Hoagie Roll,bread,21.84
937,Sub Roll,bread,56.47
938,Ciabatta,bread,80.29
939,Flatbread,bread,85.38
940,English Muffin,bread,59.76
941,Texas Toast,bread,15.31
942,Ciabatta,bread,82.47
943,Ciabatta,bread,33.43
944,White,bread,92.59
945,Whole Wheat,bread,24.55
946,Ciabatta Roll,bread,95.13
947,Kaiser Roll,bread,80.19
948,Baguette,bread,15.61
949,Pita,bread,89.71
950,Tortilla,bread,40.05
951,Hoagie Roll,bread,3.13
952,Pita,bread,28.13
953,Sourdough,bread,72.9
954,Naan,bread,45.16
955,Rye,bread,69.55
956,Ciabatta Roll,bread,98.13
957,Flatbread,bread,98.58
958,Sub Roll,bread,99.0
959,Ciabatta Roll,bread,53.63
960,Multigrain,bread,2.6
961,Flatbread,bread,69.16
962,White,bread,27.14
963,Whole Wheat,bread,43.8
964,Ciabatta Roll,bread,12.19
965,Ciabatta,bread,93.37
966,Sub Roll,bread,40.4
967,Sub Roll,bread,14.9
968,Hoagie Roll,bread,6.6
969,Sourdough,bread,85.73
970,Naan,bread,94.51
971,Brioche,bread,11.99
972,Sub Roll,bread,11.35
973,Flatbread,bread,60.03
974,Ciabatta,bread,11.3
975,English Muffin,bread,49.42
976,Sub Roll,bread,93.36
977,Ciabatta,bread,10.46
978,Flatbread,bread,97.82
979,Hoagie Roll,bread,47.54
980,Rye,bread,45.43
981,English Muffin,bread,74.09
982,Ciabatta Roll,bread,40.01
983,Focaccia,bread,5.27
984,Tortilla,bread,20.48
985,Texas Toast,bread,34.98
986,Ciabatta Roll,bread,24.38
987,Baguette,bread,89.6
988,Ciabatta Roll,bread,11.72
989,Naan,bread,50.8
990,White,bread,98.67
991,Hoagie Roll,bread,5.05
992,Ciabatta,bread,78.14
993,Flatbread,bread,79.9
994,Sub Roll,bread,99.01
995,Tortilla,bread,29.53
996,Naan,bread,43.83
997,Brioche,bread,3.05
998,Bagel,bread,3.19
999,Tortilla,bread,86.47
1000,Naan,bread,92.38
1001,Flatbread,bread,96.01
1002,Multigrain,bread,75.72
