id,item,type,origin,price,organic_or_inorganic
636,Goat,meat,imported,2.7,organic
637,Rabbit,meat,local,77.51,organic
638,Chicken,meat,imported,35.47,inorganic
639,Veal,meat,imported,45.83,inorganic
640,Bison,meat,local,23.61,organic
641,Chicken,meat,imported,90.03,organic
642,Goat,meat,local,47.86,inorganic
643,Ham,meat,imported,22.35,inorganic
644,Beef,meat,imported,67.53,organic
645,Turkey,meat,local,3.4,inorganic
646,Beef,meat,local,87.43,inorganic
647,Ham,meat,imported,85.5,organic
648,Salami,meat,local,36.3,organic
649,Sausage,meat,local,98.98,organic
650,Beef,meat,local,48.92,inorganic
651,Chicken,meat,local,68.14,organic
652,Turkey,meat,local,68.9,inorganic
653,Salami,meat,local,30.88,organic
654,Ham,meat,local,9.9,organic
655,Bison,meat,local,0.76,inorganic
656,Salami,meat,local,91.92,organic
657,Venison,meat,imported,81.88,organic
658,Turkey,meat,local,18.86,organic
659,Turkey,meat,imported,69.62,inorganic
660,Beef,meat,imported,25.85,inorganic
661,Pork,meat,local,49.62,organic
662,Beef,meat,imported,40.67,organic
663,Venison,meat,local,98.57,inorganic
664,Bison,meat,local,62.62,inorganic
665,Sausage,meat,local,54.42,organic
666,Bison,meat,local,38.78,inorganic
667,Duck,meat,imported,26.64,inorganic
668,Sausage,meat,local,74.41,organic
669,Salmon,seafood,imported,83.94,organic
670,Salmon,seafood,imported,66.82,organic
671,Grouper,seafood,local,94.17,inorganic
672,Oyster,seafood,imported,40.46,organic
673,Grouper,seafood,local,32.24,organic
674,Tuna,seafood,local,89.35,inorganic
675,Scallop,seafood,local,86.23,organic
676,Anchovy,seafood,imported,99.2,inorganic
677,Squid,seafood,local,45.67,organic
678,Crab,seafood,imported,43.74,inorganic
679,Grouper,seafood,imported,95.78,organic
680,Anchovy,seafood,imported,51.16,organic
681,Swordfish,seafood,imported,67.38,inorganic
682,Lobster,seafood,imported,35.25,organic
683,Prawn,seafood,imported,84.29,organic
684,Shrimp,seafood,imported,96.32,organic
685,Salmon,seafood,imported,0.35,inorganic
686,Octopus,seafood,imported,95.15,inorganic
687,Pollock,seafood,local,95.44,organic
688,Snapper,seafood,local,4.5,organic
689,Crab,seafood,local,80.96,organic
690,Prawn,seafood,imported,44.3,organic
691,Prawn,seafood,local,12.62,organic
692,Tuna,seafood,imported,7.58,inorganic
693,Squid,seafood,local,27.58,organic
694,Anchovy,seafood,local,0.11,organic
695,Cod,seafood,imported,45.11,inorganic
696,Swordfish,seafood,local,66.22,organic
697,Oyster,seafood,local,16.43,inorganic
698,Squid,seafood,local,71.27,organic
699,Scallop,seafood,imported,35.16,inorganic
700,Mussel,seafood,imported,80.02,inorganic
701,Shrimp,seafood,local,46.16,inorganic
702,Haddock,seafood,local,0.73,organic
703,Octopus,seafood,local,47.11,organic
704,Haddock,seafood,local,96.55,organic
705,Bass,seafood,local,34.91,inorganic
706,Lobster,seafood,local,45.05,inorganic
707,Crab,seafood,local,45.79,inorganic
708,Oyster,seafood,local,31.66,organic
709,Cod,seafood,local,66.14,organic
710,Oyster,seafood,imported,35.65,inorganic
711,Snapper,seafood,local,51.53,organic
712,Oyster,seafood,local,41.07,inorganic
713,Shrimp,seafood,imported,20.52,organic
714,Trout,seafood,local,82.01,organic
715,Swordfish,seafood,local,26.34,inorganic
716,Mussel,seafood,local,93.24,inorganic
717,Halibut,seafood,local,56.56,organic
718,Bass,seafood,local,36.6,organic
719,Snapper,seafood,local,82.19,organic
720,Octopus,seafood,imported,45.26,organic
721,Halibut,seafood,imported,41.76,inorganic
722,Sardine,seafood,local,4.77,inorganic
723,Shrimp,seafood,local,11.65,inorganic
724,Clam,seafood,imported,6.34,organic
725,Octopus,seafood,local,90.06,inorganic
726,Salmon,seafood,local,41.29,inorganic
727,Anchovy,seafood,imported,50.87,inorganic
728,Scallop,seafood,local,35.02,inorganic
729,Squid,seafood,imported,23.83,inorganic
730,Scallop,seafood,local,21.66,inorganic
731,Salmon,seafood,imported,19.14,inorganic
732,Scallop,seafood,imported,6.43,inorganic
733,Sardine,seafood,imported,32.94,inorganic
734,Haddock,seafood,local,35.86,organic
735,Cod,seafood,local,13.01,organic
736,Cod,seafood,imported,80.98,organic
737,Octopus,seafood,local,27.3,organic
738,Halibut,seafood,local,16.38,organic
739,Prawn,seafood,imported,0.47,organic
740,Prawn,seafood,local,65.24,inorganic
741,Cod,seafood,imported,1.28,organic
742,Sardine,seafood,local,86.41,organic
743,Scallop,seafood,imported,15.74,inorganic
744,Cod,seafood,imported,68.14,organic
745,Lobster,seafood,local,15.71,organic
746,Grouper,seafood,local,89.23,inorganic
747,Tuna,seafood,imported,6.57,organic
748,Halibut,seafood,imported,13.55,organic
749,Bass,seafood,local,49.0,organic
750,Tuna,seafood,imported,54.71,inorganic
751,Lobster,seafood,local,78.69,inorganic
752,Scallop,seafood,local,20.3,organic
753,Mussel,seafood,local,79.79,organic
754,Bass,seafood,imported,38.9,inorganic
755,Oyster,seafood,imported,32.37,inorganic
756,Haddock,seafood,imported,47.02,organic
757,Trout,seafood,imported,54.36,organic
758,Salmon,seafood,local,12.31,inorganic
759,Swordfish,seafood,imported,90.67,organic
760,Tuna,seafood,imported,59.88,inorganic
761,Grouper,seafood,local,18.71,organic
762,Anchovy,seafood,local,45.6,organic
763,Halibut,seafood,local,37.35,organic
764,Clam,seafood,local,48.88,inorganic
765,Swordfish,seafood,imported,25.28,organic
766,Lobster,seafood,local,26.42,organic
767,Anchovy,seafood,imported,53.28,organic
768,Snapper,seafood,local,16.89,organic
769,Trout,seafood,imported,63.04,inorganic
770,Halibut,seafood,imported,6.72,inorganic
771,Scallop,seafood,local,22.53,organic
772,Crab,seafood,imported,66.1,organic
773,Oyster,seafood,local,14.08,inorganic
774,Snapper,seafood,imported,0.11,organic
775,Cod,seafood,local,42.23,inorganic
776,Mussel,seafood,imported,62.41,organic
777,Clam,seafood,local,93.72,organic
778,Octopus,seafood,local,67.25,inorganic
779,Bass,seafood,imported,4.81,inorganic
780,Mussel,seafood,local,72.78,organic
781,Bass,seafood,imported,66.3,organic
782,Halibut,seafood,imported,88.23,inorganic
783,Mussel,seafood,imported,6.26,organic
784,Octopus,seafood,local,91.35,organic
785,Prawn,seafood,local,83.61,organic
786,Scallop,seafood,imported,68.35,organic
787,Grouper,seafood,imported,2.87,inorganic
788,Snapper,seafood,local,95.67,organic
789,Anchovy,seafood,local,24.82,inorganic
790,Octopus,seafood,local,94.38,inorganic
791,Grouper,seafood,local,13.63,organic
792,Haddock,seafood,imported,94.17,inorganic
793,Clam,seafood,imported,56.43,organic
794,Prawn,seafood,imported,88.31,inorganic
795,Clam,seafood,local,39.44,organic
796,Salmon,seafood,local,35.19,inorganic
797,Cod,seafood,local,17.17,organic
798,Anchovy,seafood,imported,2.17,inorganic
799,Crab,seafood,local,78.16,organic
800,Crab,seafood,imported,73.34,organic
801,Oyster,seafood,local,59.43,organic
802,Shrimp,seafood,local,27.7,inorganic
803,Crab,seafood,local,23.95,organic
804,Cod,seafood,local,67.37,organic
805,Squid,seafood,imported,43.02,inorganic
806,Scallop,seafood,imported,16.54,inorganic
807,Oyster,seafood,imported,24.04,organic
808,Octopus,seafood,imported,1.76,inorganic
809,Oyster,seafood,local,1.35,inorganic
810,Tuna,seafood,local,74.21,organic
811,Sardine,seafood,imported,9.35,organic
812,Snapper,seafood,imported,77.87,inorganic
813,Squid,seafood,imported,76.24,organic
814,Clam,seafood,local,88.3,organic
815,Halibut,seafood,imported,73.33,organic
816,Tuna,seafood,imported,67.34,inorganic
817,Scallop,seafood,imported,14.14,inorganic
818,Trout,seafood,local,21.06,inorganic
819,Shrimp,seafood,imported,84.8,inorganic
820,Crab,seafood,imported,59.03,organic
821,Octopus,seafood,imported,58.51,inorganic
822,Clam,seafood,local,42.22,organic
823,Sardine,seafood,imported,8.79,inorganic
824,Swordfish,seafood,local,34.85,organic
825,Crab,seafood,imported,64.16,organic
826,Mussel,seafood,imported,92.08,inorganic
827,Snapper,seafood,local,26.7,inorganic
828,Tuna,seafood,local,47.05,inorganic
829,Scallop,seafood,local,38.11,organic
830,Snapper,seafood,local,74.35,organic
831,Pollock,seafood,local,55.77,organic
832,Snapper,seafood,imported,77.48,inorganic
833,Scallop,seafood,imported,59.08,organic
834,Snapper,seafood,local,66.8,organic
835,Crab,seafood,imported,24.74,organic
836,Baguette,bread,local,34.53,organic
837,Kaiser Roll,bread,imported,91.82,organic
838,White,bread,imported,88.83,inorganic
839,Tortilla,bread,imported,52.56,inorganic
840,English Muffin,bread,imported,36.09,organic
841,Baguette,bread,imported,19.85,organic
842,Pita,bread,imported,79.84,inorganic
843,English Muffin,bread,imported,41.48,inorganic
844,Multigrain,bread,local,75.79,inorganic
845,White,bread,imported,40.57,inorganic
846,Baguette,bread,local,21.2,organic
847,Bagel,bread,local,55.51,inorganic
848,Pita,bread,local,48.63,inorganic
849,Hoagie Roll,bread,local,3.87,inorganic
850,Rye,bread,imported,93.61,organic
851,Bagel,bread,imported,33.38,organic
852,Hoagie Roll,bread,local,32.69,organic
853,Ciabatta Roll,bread,imported,9.74,inorganic
854,Pita,bread,imported,68.06,inorganic
855,Ciabatta Roll,bread,local,75.96,inorganic
856,Multigrain,bread,local,76.74,inorganic
857,White,bread,local,46.26,organic
858,Ciabatta,bread,imported,68.15,inorganic
859,Pita,bread,imported,97.29,inorganic
860,Texas Toast,bread,imported,68.31,organic
861,Ciabatta Roll,bread,imported,91.23,inorganic
862,Naan,bread,local,30.25,organic
863,Rye,bread,local,66.48,inorganic
864,Pita,bread,imported,77.61,inorganic
865,White,bread,local,26.31,inorganic
866,Sub Roll,bread,local,7.5,inorganic
867,Ciabatta Roll,bread,imported,53.56,inorganic
868,Sourdough,bread,local,51.03,inorganic
869,Ciabatta,bread,imported,93.64,organic
870,Texas Toast,bread,local,21.55,inorganic
871,Bagel,bread,imported,36.49,organic
872,Kaiser Roll,bread,imported,68.06,organic
873,Sub Roll,bread,local,53.9,organic
874,Bagel,bread,local,55.38,organic
875,English Muffin,bread,local,50.87,organic
876,Whole Wheat,bread,local,74.12,inorganic
877,Ciabatta Roll,bread,imported,52.07,organic
878,Kaiser Roll,bread,local,20.68,organic
879,White,bread,local,25.66,organic
880,White,bread,local,4.17,inorganic
881,Naan,bread,imported,29.73,inorganic
882,Focaccia,bread,imported,76.63,organic
883,Sourdough,bread,local,89.67,inorganic
884,English Muffin,bread,imported,29.14,inorganic
885,Tortilla,bread,imported,86.36,organic
886,Sub Roll,bread,imported,27.47,inorganic
887,Bagel,bread,local,76.4,organic
888,Bagel,bread,local,0.35,inorganic
889,Flatbread,bread,imported,95.59,organic
890,Ciabatta,bread,imported,1.92,inorganic
891,Multigrain,bread,local,40.29,organic
892,Flatbread,bread,local,74.44,inorganic
893,Whole Wheat,bread,local,34.5,organic
894,Sourdough,bread,imported,57.39,inorganic
895,English Muffin,bread,local,0.75,inorganic
896,Focaccia,bread,imported,83.55,organic
897,Multigrain,bread,imported,59.01,inorganic
898,Kaiser Roll,bread,imported,42.59,inorganic
899,Baguette,bread,local,57.18,inorganic
900,Naan,bread,local,91.5,inorganic
901,White,bread,imported,94.39,organic
902,Kaiser Roll,bread,local,12.22,organic
903,Naan,bread,imported,88.47,inorganic
904,Ciabatta Roll,bread,local,83.02,inorganic
905,English Muffin,bread,imported,7.19,organic
906,Ciabatta,bread,local,59.32,inorganic
907,Sourdough,bread,local,65.06,organic
908,Focaccia,bread,imported,58.68,inorganic
909,Whole Wheat,bread,local,89.08,inorganic
910,White,bread,local,47.89,inorganic
911,Multigrain,bread,local,25.36,organic
912,Naan,bread,local,9.89,organic
913,Texas Toast,bread,local,25.59,inorganic
914,Ciabatta,bread,imported,3.93,inorganic
915,Ciabatta,bread,imported,86.37,organic
916,Flatbread,bread,local,38.69,inorganic
917,Brioche,bread,imported,31.01,inorganic
918,Ciabatta Roll,bread,local,91.49,inorganic
919,English Muffin,bread,local,33.47,inorganic
920,Sub Roll,bread,local,66.04,inorganic
921,Rye,bread,local,88.36,organic
922,Ciabatta,bread,imported,17.61,organic
923,Pita,bread,local,79.46,organic
924,Flatbread,bread,local,19.9,inorganic
925,White,bread,local,0.88,inorganic
926,Multigrain,bread,imported,37.07,inorganic
927,Pita,bread,imported,60.92,organic
928,White,bread,imported,25.36,organic
929,Sub Roll,bread,local,13.95,inorganic
930,Naan,bread,local,76.05,organic
931,Hoagie Roll,bread,local,68.91,inorganic
932,Ciabatta Roll,bread,local,79.92,inorganic
933,White,bread,imported,30.58,inorganic
934,Multigrain,bread,local,16.04,inorganic
935,Focaccia,bread,local,67.19,organic
936,Ciabatta Roll,bread,imported,2.4,inorganic
937,Rye,bread,imported,98.14,inorganic
938,Whole Wheat,bread,local,62.12,organic
939,Sub Roll,bread,local,89.62,inorganic
940,Flatbread,bread,local,71.53,inorganic
941,Brioche,bread,imported,13.4,inorganic
942,Sub Roll,bread,local,27.77,organic
943,Pita,bread,local,23.2,organic
944,Focaccia,bread,local,53.09,organic
945,White,bread,imported,45.05,inorganic
946,Texas Toast,bread,imported,61.83,organic
947,Brioche,bread,local,97.9,inorganic
948,Naan,bread,local,48.32,organic
949,Sourdough,bread,local,8.61,organic
950,Flatbread,bread,imported,96.63,inorganic
951,Ciabatta Roll,bread,imported,65.18,organic
952,Kaiser Roll,bread,local,92.47,organic
953,Flatbread,bread,local,79.01,inorganic
954,Pita,bread,local,48.76,inorganic
955,Focaccia,bread,imported,5.12,inorganic
956,Texas Toast,bread,local,83.86,inorganic
957,Brioche,bread,imported,86.03,organic
958,Sub Roll,bread,local,17.05,organic
959,Naan,bread,imported,38.57,organic
960,English Muffin,bread,local,83.0,organic
961,English Muffin,bread,local,87.45,inorganic
962,Sourdough,bread,local,43.37,organic
963,Flatbread,bread,local,80.47,inorganic
964,Kaiser Roll,bread,imported,86.89,organic
965,Texas Toast,bread,local,43.47,inorganic
966,Tortilla,bread,local,0.15,inorganic
967,Baguette,bread,imported,38.08,inorganic
968,Ciabatta,bread,imported,65.55,organic
969,White,bread,imported,44.7,organic
970,Multigrain,bread,imported,26.55,organic
971,Whole Wheat,bread,local,13.47,organic
972,Baguette,bread,local,72.1,organic
973,Texas Toast,bread,local,1.67,inorganic
974,Hoagie Roll,bread,imported,4.02,organic
975,Sourdough,bread,imported,10.04,organic
976,Ciabatta,bread,imported,21.59,inorganic
977,Whole Wheat,bread,local,29.48,organic
978,Flatbread,bread,imported,69.27,inorganic
979,Whole Wheat,bread,local,53.86,inorganic
980,Naan,bread,local,96.97,organic
981,Ciabatta Roll,bread,imported,41.21,inorganic
982,Ciabatta,bread,local,18.2,inorganic
983,Tortilla,bread,imported,54.29,organic
984,Baguette,bread,imported,79.68,inorganic
985,Pita,bread,local,88.73,organic
986,Ciabatta,bread,imported,69.9,organic
987,Bagel,bread,local,25.07,inorganic
988,Ciabatta,bread,local,83.7,inorganic
989,Hoagie Roll,bread,local,91.37,inorganic
990,Sub Roll,bread,imported,59.7,inorganic
991,White,bread,imported,96.39,organic
992,Multigrain,bread,local,70.55,organic
993,English Muffin,bread,local,24.78,organic
994,Ciabatta,bread,local,4.52,organic
995,Sourdough,bread,imported,76.67,organic
996,Brioche,bread,local,82.48,inorganic
997,Texas Toast,bread,local,57.19,organic
998,Pita,bread,local,21.18,organic
999,Ciabatta Roll,bread,imported,33.92,organic
1000,Naan,bread,imported,42.01,organic
1001,Flatbread,bread,local,92.79,inorganic
1002,Hoagie Roll,bread,imported,59.62,organic
